Index,Organization Id,Name,Website,Country,Description,Founded,Industry,Number of employees
1,E84A904909dF528,Liu-Hoover,http://www.day-hartman.org/,Western Sahara,Ergonomic zero administration knowledge user,1980,Online Publishing,6852
2,AAC4f9aBF86EAeF,Orr-Armstrong,https://www.chapman.net/,Algeria,Ergonomic radical budgetary management,1970,Import / Export,7994
3,ad2eb3C8C24DB87,Gill-Lamb,http://lin.com/,Cote d'Ivoire,Programmable intermediate conglomeration,2005,Apparel / Fashion,5105
4,D76BB12E5eE165B,Bauer-Weiss,https://gillespie-stout.com/,United States of America,Synergistic maximized definition,2015,Dairy,9069
5,2F31EddF2Db9aAE,Love-Palmer,https://kramer.com/,Denmark,Optimized optimizing moderator,2010,Management Consulting,6991
6,6774DC1dB00BD11,"Farmer, Edwards and Andrade",http://wolfe-boyd.com/,Norfolk Island,Virtual leadingedge benchmark,2003,Mental Health Care,3503
7,116B5cD4eE1fAAc,"Bass, Hester and Mcclain",https://meza-smith.com/,Uzbekistan,Multi-tiered system-worthy hub,1994,Computer Hardware,2762
8,AB2eA15d98b6BD4,"Strickland, Gray and Jensen",http://kerr.info/,Israel,Team-oriented fresh-thinking knowledge user,1987,Performing Arts,7020
9,0c6D831e8DceCfE,"Sparks, Decker and Powell",https://www.howe.net/,Israel,Down-sized content-based info-mediaries,1977,Marketing / Advertising / Sales,2709
10,9ABE0c8aee135d6,"Osborn, Ford and Macdonald",http://www.mcdonald-watts.biz/,Syrian Arab Republic,Optional coherent focus group,1990,Investment Banking / Venture,5731
11,C494aBe0CDB9c70,Gonzales Inc,http://lara.org/,Angola,Enterprise-wide attitude-oriented conglomeration,2019,Capital Markets / Hedge Fund / Private Equity,2252
12,9FBF69aa2D9AAF1,"Ballard, Goodman and Boone",http://berger-chen.info/,Iran,Multi-layered zero administration ability,2019,Logistics / Procurement,6165
13,4EB9d3E5cF79b91,"Bernard, Payne and Spencer",http://williamson.net/,Afghanistan,Polarized dynamic projection,1990,Transportation,730
14,e5CA6529DCD4030,Mcpherson-Blanchard,http://www.ward.com/,Bulgaria,Integrated didactic product,1972,Law Enforcement,9890
15,b0BBeBB36bAbb35,"Koch, Gomez and Hays",http://ewing-rosario.biz/,French Southern Territories,Operative national superstructure,1997,Financial Services,8497
16,CDa7Ec784D5A8Bd,"Meza, Ramirez and Braun",https://hardy.biz/,Timor-Leste,Customer-focused multi-tasking ability,2012,Public Relations / PR,5205
17,b7cBE6A9E79A56F,"Morales, Hinton and Gibbs",https://hudson.com/,Serbia,Seamless global utilization,2014,Museums / Institutions,6706
18,e5cab57FFF6f4bd,Abbott-Arroyo,http://delgado.net/,Hungary,Visionary holistic firmware,1994,Architecture / Planning,117
19,3851f381Ea54d70,Trevino-Foley,https://baxter.com/,Canada,Enterprise-wide 6thgeneration parallelism,1973,Wine / Spirits,6765
20,2FaDD3Ac0fB4052,"Bowman, Walters and Sawyer",https://www.drake-calhoun.com/,Yemen,Exclusive client-server collaboration,1988,Think Tanks,5926
21,0502B16c90e7072,Shepherd PLC,http://bailey.org/,Jamaica,Sharable zero-defect methodology,1972,Newspapers / Journalism,5687
22,12b447DFF9eef1f,"Solis, Knapp and Nash",https://www.finley.biz/,Marshall Islands,Visionary content-based model,1978,Aviation / Aerospace,9277
23,efc5C915AcbF437,"Young, Buchanan and Vazquez",http://www.gregory-chapman.com/,Greenland,Customizable disintermediate attitude,2005,Sports,8299
24,3dc422C0ac77DE1,"Ford, Patel and Singleton",http://cook.biz/,Iraq,Centralized intangible knowledge user,2011,Defense / Space,7245
25,F86a2ca7a4def88,King Inc,https://love.info/,French Southern Territories,Phased logistical project,2013,Real Estate / Mortgage,7464
26,FAACec3019Bf7F5,Jacobs-Kline,https://www.smith-hardin.org/,Bhutan,Inverse 6thgeneration pricing structure,1988,Sporting Goods,2788
27,87DfB4DddDdC345,"Hardin, Walsh and Arias",http://www.middleton.biz/,Thailand,Inverse methodical solution,1980,Graphic Design / Web Design,3738
28,6A4daD8c40aa962,"Mccann, Dominguez and Ray",http://www.deleon.com/,Guadeloupe,Mandatory systemic moderator,2016,Broadcast Media,8641
29,8Dddb95Ec0BdfF3,Beltran Ltd,http://www.ray-proctor.net/,Uzbekistan,Digitized 4thgeneration encryption,2016,Media Production,2952
30,8B901f70eAF1BBE,Chaney-Kent,https://edwards-gutierrez.com/,Hungary,Expanded analyzing Graphic Interface,1972,Professional Training,1075
31,99c991d513A6EFB,Thomas PLC,http://www.potter.net/,Maldives,Right-sized national projection,1972,Telecommunications,2548
